,order_id,item_id,product_id,store_id,order_date,required_date,quantity,list_price,discount,inventory_quantity,product_name,model_year,category_id,supplier_id,category_name,supplier_name
0,1,1,20,1,2016-01-01,2016-01-03,1,599.99,0.2,26,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
1,2,1,20,2,2016-01-01,2016-01-04,1,599.99,0.07,20,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
2,3,2,20,2,2016-01-02,2016-01-05,1,599.99,0.05,20,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
3,6,3,20,2,2016-01-04,2016-01-07,1,599.99,0.1,20,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
4,8,2,20,1,2016-01-04,2016-01-05,2,599.99,0.07,26,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
5,13,3,20,3,2016-01-08,2016-01-11,2,599.99,0.1,19,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
6,17,4,20,3,2016-01-12,2016-01-14,2,599.99,0.2,19,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
7,35,2,20,1,2016-01-22,2016-01-25,2,599.99,0.05,26,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
8,51,2,20,1,2016-02-01,2016-02-02,1,599.99,0.05,26,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
9,56,1,20,2,2016-02-04,2016-02-06,2,599.99,0.07,20,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
10,70,3,20,2,2016-02-11,2016-02-11,1,599.99,0.05,20,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
11,77,1,20,1,2016-02-16,2016-02-19,1,599.99,0.07,26,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
12,83,1,20,2,2016-02-19,2016-02-20,1,599.99,0.2,20,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
13,87,1,20,1,2016-02-21,2016-02-22,2,599.99,0.2,26,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
14,95,4,20,3,2016-02-27,2016-02-29,2,599.99,0.05,19,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
15,97,1,20,2,2016-02-28,2016-02-29,2,599.99,0.2,20,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
16,127,2,20,1,2016-03-17,2016-03-18,1,599.99,0.1,26,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
17,132,2,20,1,2016-03-20,2016-03-22,1,599.99,0.05,26,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
18,146,3,20,3,2016-03-28,2016-03-30,2,599.99,0.1,19,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
19,169,1,20,3,2016-04-10,2016-04-11,2,599.99,0.1,19,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
20,173,3,20,2,2016-04-11,2016-04-14,2,599.99,0.05,20,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
21,177,1,20,3,2016-04-16,2016-04-19,2,599.99,0.1,19,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
22,179,5,20,2,2016-04-17,2016-04-19,2,599.99,0.1,20,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
23,185,1,20,3,2016-04-20,2016-04-20,1,599.99,0.1,19,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
24,196,5,20,2,2016-04-28,2016-04-30,1,599.99,0.1,20,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
25,198,2,20,2,2016-05-01,2016-05-04,2,599.99,0.07,20,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
26,206,2,20,3,2016-05-04,2016-05-06,1,599.99,0.2,19,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
27,223,4,20,1,2016-05-15,2016-05-16,1,599.99,0.05,26,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
28,237,3,20,2,2016-05-25,2016-05-26,2,599.99,0.2,20,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
29,238,1,20,1,2016-05-26,2016-05-29,2,599.99,0.2,26,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
30,277,1,20,2,2016-06-19,2016-06-20,2,599.99,0.2,20,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
31,282,1,20,3,2016-06-22,2016-06-25,1,599.99,0.07,19,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
32,284,2,20,1,2016-06-23,2016-06-25,1,599.99,0.2,26,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
33,287,4,20,3,2016-06-25,2016-06-26,1,599.99,0.05,19,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
34,304,3,20,2,2016-07-07,2016-07-08,1,599.99,0.1,20,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
35,316,3,20,3,2016-07-17,2016-07-20,1,599.99,0.1,19,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
36,343,1,20,1,2016-07-31,2016-08-02,2,599.99,0.2,26,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
37,349,1,20,1,2016-08-03,2016-08-03,2,599.99,0.2,26,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
38,350,2,20,1,2016-08-03,2016-08-03,1,599.99,0.07,26,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
39,351,3,20,1,2016-08-03,2016-08-06,1,599.99,0.2,26,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
40,363,4,20,3,2016-08-11,2016-08-12,1,599.99,0.2,19,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
41,384,1,20,2,2016-08-20,2016-08-22,1,599.99,0.1,20,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
42,407,1,20,1,2016-09-01,2016-09-01,1,599.99,0.2,26,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
43,418,2,20,3,2016-09-04,2016-09-05,1,599.99,0.05,19,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
44,421,3,20,3,2016-09-05,2016-09-06,2,599.99,0.2,19,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
45,422,1,20,3,2016-09-06,2016-09-07,2,599.99,0.05,19,Electra Townie Original 7D EQ - Womens - 2016  ,2016,3,1,"""Cruisers Bicycles""","""Electra"""
